Module,Endpoint,Method,Path,Description,Status,Implementation,Authentication,Permissions,Parameters,Response_Format,Error_Handling,Rate_Limiting,Documentation,Testing_Status,Last_Updated,,,
ERP,Get All Products,GET,/api/v1/erp/products,Get all products with filtering,Implemented,Complete,Required,erp.view,limit (number), offset (number), category (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
ERP,Create Product,POST,/api/v1/erp/products,Create new product,Implemented,Complete,Required,erp.create,productData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Get Product by ID,GET,/api/v1/erp/products/:id,Get product by ID,Implemented,Complete,Required,erp.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Update Product,PUT,/api/v1/erp/products/:id,Update product information,Implemented,Complete,Required,erp.update,id (string), productData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
ERP,Delete Product,DELETE,/api/v1/erp/products/:id,Delete product,Implemented,Complete,Required,erp.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Get Product Inventory,GET,/api/v1/erp/products/:id/inventory,Get product inventory levels,Implemented,Complete,Required,erp.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Get All Orders,GET,/api/v1/erp/orders,Get all orders with filtering,Implemented,Complete,Required,erp.view,limit (number), offset (number), status (string), customerId (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
ERP,Create Order,POST,/api/v1/erp/orders,Create new order,Implemented,Complete,Required,erp.create,orderData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Get Order by ID,GET,/api/v1/erp/orders/:id,Get order by ID,Implemented,Complete,Required,erp.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Update Order,PUT,/api/v1/erp/orders/:id,Update order information,Implemented,Complete,Required,erp.update,id (string), orderData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
ERP,Update Order Status,PATCH,/api/v1/erp/orders/:id/status,Update order status,Implemented,Complete,Required,erp.update,id (string), status (string),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
ERP,Get All Invoices,GET,/api/v1/erp/invoices,Get all invoices with filtering,Implemented,Complete,Required,erp.view,limit (number), offset (number), status (string), customerId (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
ERP,Create Invoice,POST,/api/v1/erp/invoices,Create new invoice,Implemented,Complete,Required,erp.create,invoiceData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Get Invoice by ID,GET,/api/v1/erp/invoices/:id,Get invoice by ID,Implemented,Complete,Required,erp.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Update Invoice,PUT,/api/v1/erp/invoices/:id,Update invoice information,Implemented,Complete,Required,erp.update,id (string), invoiceData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
ERP,Get All Vendors,GET,/api/v1/erp/vendors,Get all vendors with filtering,Implemented,Complete,Required,erp.view,limit (number), offset (number), category (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
ERP,Create Vendor,POST,/api/v1/erp/vendors,Create new vendor,Implemented,Complete,Required,erp.create,vendorData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Get Vendor by ID,GET,/api/v1/erp/vendors/:id,Get vendor by ID,Implemented,Complete,Required,erp.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
ERP,Update Vendor,PUT,/api/v1/erp/vendors/:id,Update vendor information,Implemented,Complete,Required,erp.update,id (string), vendorData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
HR,Get All Employees,GET,/api/v1/hr/employees,Get all employees with filtering,Implemented,Complete,Required,hr.view,limit (number), offset (number), department (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
HR,Create Employee,POST,/api/v1/hr/employees,Create new employee,Implemented,Complete,Required,hr.create,employeeData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Employee by ID,GET,/api/v1/hr/employees/:id,Get employee by ID,Implemented,Complete,Required,hr.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
HR,Update Employee,PUT,/api/v1/hr/employees/:id,Update employee information,Implemented,Complete,Required,hr.update,id (string), employeeData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
HR,Delete Employee,DELETE,/api/v1/hr/employees/:id,Delete employee,Implemented,Complete,Required,hr.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Attendance Records,GET,/api/v1/hr/attendance,Get attendance records,Implemented,Complete,Required,hr.view,employeeId (string), startDate (date), endDate (date),JSON,401/500,Yes,Documented,Tested,12/1/2024,
HR,Check In,POST,/api/v1/hr/attendance/check-in,Employee check-in,Implemented,Complete,Required,hr.create,employeeId (string),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Check Out,POST,/api/v1/hr/attendance/check-out,Employee check-out,Implemented,Complete,Required,hr.update,employeeId (string),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Leave Requests,GET,/api/v1/hr/leave,Get leave requests,Implemented,Complete,Required,hr.view,employeeId (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
HR,Create Leave Request,POST,/api/v1/hr/leave,Create leave request,Implemented,Complete,Required,hr.create,leaveData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Approve Leave Request,PUT,/api/v1/hr/leave/:id/approve,Approve or reject leave request,Implemented,Complete,Required,hr.approve,id (string), status (string), notes (string),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,
HR,Get Payroll Records,GET,/api/v1/hr/payroll,Get payroll records,Implemented,Complete,Required,hr.view,employeeId (string), month (number), year (number),JSON,401/500,Yes,Documented,Tested,12/1/2024,
HR,Create Payroll Record,POST,/api/v1/hr/payroll,Create payroll record,Implemented,Complete,Required,hr.create,payrollData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Performance Reviews,GET,/api/v1/hr/performance,Get performance reviews,Implemented,Complete,Required,hr.view,employeeId (string), period (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
HR,Create Performance Review,POST,/api/v1/hr/performance,Create performance review,Implemented,Complete,Required,hr.create,performanceData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Job Postings,GET,/api/v1/hr/recruitment/jobs,Get job postings,Implemented,Complete,Required,hr.view,status (string), department (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
HR,Create Job Posting,POST,/api/v1/hr/recruitment/jobs,Create job posting,Implemented,Complete,Required,hr.create,jobData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Job Applications,GET,/api/v1/hr/recruitment/applications,Get job applications,Implemented,Complete,Required,hr.view,jobId (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
HR,Update Application Status,PUT,/api/v1/hr/recruitment/applications/:id,Update application status,Implemented,Complete,Required,hr.update,id (string), status (string),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
HR,Get Training Courses,GET,/api/v1/hr/training/courses,Get training courses,Implemented,Complete,Required,hr.view,category (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
HR,Create Training Course,POST,/api/v1/hr/training/courses,Create training course,Implemented,Complete,Required,hr.create,courseData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Training Enrollments,GET,/api/v1/hr/training/enrollments,Get training enrollments,Implemented,Complete,Required,hr.view,employeeId (string), courseId (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
HR,Enroll in Training,POST,/api/v1/hr/training/enrollments,Enroll in training course,Implemented,Complete,Required,hr.create,enrollmentData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Onboarding Checklists,GET,/api/v1/hr/onboarding/checklists,Get onboarding checklists,Implemented,Complete,Required,hr.view,department (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Start Onboarding Process,POST,/api/v1/hr/onboarding/processes,Start onboarding process,Implemented,Complete,Required,hr.create,onboardingData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Start Offboarding Process,POST,/api/v1/hr/offboarding/processes,Start offboarding process,Implemented,Complete,Required,hr.create,offboardingData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get Employee Benefits,GET,/api/v1/hr/benefits,Get employee benefits,Implemented,Complete,Required,hr.view,employeeId (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Enroll in Benefits,POST,/api/v1/hr/benefits/enroll,Enroll in benefits,Implemented,Complete,Required,hr.create,enrollmentData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
HR,Get HR Workflows,GET,/api/v1/hr/workflows,Get HR workflows,Implemented,Complete,Required,hr.view,type (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
HR,Create HR Workflow,POST,/api/v1/hr/workflows,Create HR workflow,Implemented,Complete,Required,hr.create,workflowData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get All Assets,GET,/api/v1/assets,Get all IT assets with filtering,Implemented,Complete,Required,assets.view,limit (number), offset (number), category (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
IT Asset,Create Asset,POST,/api/v1/assets,Create new IT asset,Implemented,Complete,Required,assets.create,assetData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get Asset by ID,GET,/api/v1/assets/:id,Get asset by ID,Implemented,Complete,Required,assets.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Update Asset,PUT,/api/v1/assets/:id,Update asset information,Implemented,Complete,Required,assets.update,id (string), assetData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Delete Asset,DELETE,/api/v1/assets/:id,Delete asset,Implemented,Complete,Required,assets.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get Asset Locations,GET,/api/v1/assets/tracking/locations,Get asset locations,Implemented,Complete,Required,assets.view,assetId (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get Asset Movements,GET,/api/v1/assets/tracking/movements,Get asset movements,Implemented,Complete,Required,assets.view,assetId (string), startDate (date), endDate (date),JSON,401/500,Yes,Documented,Tested,12/1/2024,
IT Asset,Scan Asset QR Code,POST,/api/v1/assets/tracking/scan,Scan asset QR code,Implemented,Complete,Required,assets.update,qrCode (string), location (string),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Get Maintenance Schedules,GET,/api/v1/assets/maintenance/schedules,Get maintenance schedules,Implemented,Complete,Required,assets.view,assetId (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Create Maintenance Schedule,POST,/api/v1/assets/maintenance/schedules,Create maintenance schedule,Implemented,Complete,Required,assets.create,scheduleData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get Maintenance Requests,GET,/api/v1/assets/maintenance/requests,Get maintenance requests,Implemented,Complete,Required,assets.view,assetId (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Create Maintenance Request,POST,/api/v1/assets/maintenance/requests,Create maintenance request,Implemented,Complete,Required,assets.create,requestData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get Software Licenses,GET,/api/v1/assets/software/licenses,Get software licenses,Implemented,Complete,Required,assets.view,software (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Add Software License,POST,/api/v1/assets/software/licenses,Add software license,Implemented,Complete,Required,assets.create,licenseData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Update Software License,PUT,/api/v1/assets/software/licenses/:id,Update software license,Implemented,Complete,Required,assets.update,id (string), licenseData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Get IT Inventory,GET,/api/v1/assets/inventory,Get IT inventory,Implemented,Complete,Required,assets.view,category (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Get Stock Levels,GET,/api/v1/assets/inventory/stock,Get stock levels,Implemented,Complete,Required,assets.view,item (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get Inventory Orders,GET,/api/v1/assets/inventory/orders,Get inventory orders,Implemented,Complete,Required,assets.view,status (string), supplier (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Create Inventory Order,POST,/api/v1/assets/inventory/orders,Create inventory order,Implemented,Complete,Required,assets.create,orderData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
IT Asset,Get System Environments,GET,/api/v1/assets/systems,Get system environments,Implemented,Complete,Required,assets.view,environment (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
IT Asset,Create System Environment,POST,/api/v1/assets/systems,Create system environment,Implemented,Complete,Required,assets.create,systemData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
GST,Get All Invoices,GET,/api/v1/gst/invoices,Get all GST invoices with filtering,Implemented,Complete,Required,gst.view,limit (number), offset (number), status (string), customerId (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
GST,Create Invoice,POST,/api/v1/gst/invoices,Create new GST invoice,Implemented,Complete,Required,gst.create,invoiceData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
GST,Get Invoice by ID,GET,/api/v1/gst/invoices/:id,Get GST invoice by ID,Implemented,Complete,Required,gst.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
GST,Update Invoice,PUT,/api/v1/gst/invoices/:id,Update GST invoice,Implemented,Complete,Required,gst.update,id (string), invoiceData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
GST,Get All Returns,GET,/api/v1/gst/returns,Get all GST returns with filtering,Implemented,Complete,Required,gst.view,limit (number), offset (number), returnType (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
GST,Create Return,POST,/api/v1/gst/returns,Create new GST return,Implemented,Complete,Required,gst.create,returnData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
GST,Get Return by ID,GET,/api/v1/gst/returns/:id,Get GST return by ID,Implemented,Complete,Required,gst.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
GST,Update Return,PUT,/api/v1/gst/returns/:id,Update GST return,Implemented,Complete,Required,gst.update,id (string), returnData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
Common,Get Available Reports,GET,/api/v1/reports,Get available reports,Implemented,Complete,Required,reports.view,type (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
Common,Generate Report,POST,/api/v1/reports/generate,Generate report,Implemented,Complete,Required,reports.create,reportData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Download Report,GET,/api/v1/reports/:id/download,Download report,Implemented,Complete,Required,reports.view,id (string), format (string),JSON/File,401/404/500,Yes,Documented,Tested,12/1/2024,,
Common,Get BI Dashboard Data,GET,/api/v1/bi/dashboard,Get BI dashboard data,Implemented,Complete,Required,bi.view,period (string), filters (object),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
Common,Get Analytics Data,GET,/api/v1/bi/analytics,Get analytics data,Implemented,Complete,Required,bi.view,type (string), period (string), filters (object),JSON,401/500,Yes,Documented,Tested,12/1/2024,
Common,Get Predictive Analytics,GET,/api/v1/bi/predictions,Get predictive analytics,Implemented,Complete,Required,bi.view,model (string), parameters (object),JSON,401/500,Yes,Documented,Tested,12/1/2024,,
Common,Get All Files,GET,/api/v1/files,Get all files,Implemented,Complete,Required,files.view,limit (number), offset (number), type (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,
Common,Upload File,POST,/api/v1/files/upload,Upload file,Implemented,Complete,Required,files.create,file (multipart), metadata (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,
Common,Download File,GET,/api/v1/files/:id,Download file,Implemented,Complete,Required,files.view,id (string),File,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Delete File,DELETE,/api/v1/files/:id,Delete file,Implemented,Complete,Required,files.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get All Users,GET,/api/v1/users,Get all users,Implemented,Complete,Required,users.view,limit (number), offset (number), role (string), status (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
Common,Create User,POST,/api/v1/users,Create new user,Implemented,Complete,Required,users.create,userData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get User by ID,GET,/api/v1/users/:id,Get user by ID,Implemented,Complete,Required,users.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Update User,PUT,/api/v1/users/:id,Update user information,Implemented,Complete,Required,users.update,id (string), userData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
Common,Delete User,DELETE,/api/v1/users/:id,Delete user,Implemented,Complete,Required,users.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get User Roles,GET,/api/v1/users/:id/roles,Get user roles,Implemented,Complete,Required,users.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Assign User Role,POST,/api/v1/users/:id/roles,Assign role to user,Implemented,Complete,Required,users.update,id (string), roleId (string),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
Common,Get All Roles,GET,/api/v1/roles,Get all roles,Implemented,Complete,Required,roles.view,None,JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Create Role,POST,/api/v1/roles,Create new role,Implemented,Complete,Required,roles.create,roleData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get Role by ID,GET,/api/v1/roles/:id,Get role by ID,Implemented,Complete,Required,roles.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Update Role,PUT,/api/v1/roles/:id,Update role information,Implemented,Complete,Required,roles.update,id (string), roleData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
Common,Delete Role,DELETE,/api/v1/roles/:id,Delete role,Implemented,Complete,Required,roles.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get Role Permissions,GET,/api/v1/roles/:id/permissions,Get role permissions,Implemented,Complete,Required,roles.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Assign Role Permissions,POST,/api/v1/roles/:id/permissions,Assign permissions to role,Implemented,Complete,Required,roles.update,id (string), permissions (array),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
Common,Get All Permissions,GET,/api/v1/permissions,Get all permissions,Implemented,Complete,Required,permissions.view,module (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Create Permission,POST,/api/v1/permissions,Create new permission,Implemented,Complete,Required,permissions.create,permissionData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get Permission by ID,GET,/api/v1/permissions/:id,Get permission by ID,Implemented,Complete,Required,permissions.view,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Update Permission,PUT,/api/v1/permissions/:id,Update permission information,Implemented,Complete,Required,permissions.update,id (string), permissionData (object),JSON,400/401/404/500,Yes,Documented,Tested,12/1/2024,,
Common,Delete Permission,DELETE,/api/v1/permissions/:id,Delete permission,Implemented,Complete,Required,permissions.delete,id (string),JSON,401/404/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get System Settings,GET,/api/v1/settings,Get system settings,Implemented,Complete,Required,settings.view,category (string),JSON,401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Update System Settings,PUT,/api/v1/settings,Update system settings,Implemented,Complete,Required,settings.update,settingsData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get Audit Logs,GET,/api/v1/audit-logs,Get audit logs,Implemented,Complete,Required,audit.view,limit (number), offset (number), action (string), userId (string),JSON,401/500,Yes,Documented,Tested,12/1/2024
Common,Create Audit Log,POST,/api/v1/audit-logs,Create audit log entry,Implemented,Complete,Required,audit.create,logData (object),JSON,400/401/500,Yes,Documented,Tested,12/1/2024,,,
Common,Get System Health,GET,/api/v1/health,Get system health status,Implemented,Complete,Not Required,None,None,JSON,500,Yes,Documented,Tested,12/1/2024,,,
Common,Get API Documentation,GET,/api/v1/docs,Get API documentation,Implemented,Complete,Not Required,None,None,JSON,None,Yes,Documented,Tested,12/1/2024,,,
