Module,Component,File_Path,Type,Status,Features,Technologies,Database,API_Endpoints,Security,Performance,Last_Updated
Security,Audit Logging,server/index.js,Service,Complete,Activity logging,Node.js,Database,Audit API,Comprehensive,Indexed,2024-12-01
File Upload,Multer Configuration,server/index.js,Middleware,Complete,File uploads,Multer,File system,Upload API,Validation,Size limit,2024-12-01
File Upload,File Storage,server/uploads/,Directory,Complete,File storage,Node.js,File system,Storage API,Secure,Organized,2024-12-01
Configuration,Environment Config,env.example,Configuration,Complete,Environment vars,Node.js,None,Config API,Secure,Validated,2024-12-01
Configuration,Database Config,src/config/database.ts,Configuration,Complete,Database settings,TypeScript,Multiple,Config API,Secure,Optimized,2024-12-01
Configuration,MSSQL Config,src/config/mssql-database.ts,Configuration,Complete,SQL Server settings,TypeScript,MSSQL,Config API,Encrypted,Pooled,2024-12-01
Configuration,Module Config,src/config/modules.ts,Configuration,Complete,Module settings,TypeScript,None,Config API,Validated,Optimized,2024-12-01
Configuration,Routes Config,src/config/routes.ts,Configuration,Complete,Route settings,TypeScript,None,Route API,Validated,Optimized,2024-12-01
Configuration,Theme Config,src/config/theme.ts,Configuration,Complete,Theme settings,TypeScript,None,Theme API,Validated,Optimized,2024-12-01
Configuration,Workflow Config,src/config/workflows.ts,Configuration,Complete,Workflow settings,TypeScript,None,Workflow API,Validated,Optimized,2024-12-01
Scripts,Build Script,scripts/build.mjs,Script,Complete,Build automation,Node.js,None,Build API,Validated,Optimized,2024-12-01
Scripts,Deploy Script,scripts/deploy.mjs,Script,Complete,Deployment,Node.js,None,Deploy API,Secure,Automated,2024-12-01
Scripts,MSSQL Migration,scripts/mssql-migration.js,Script,Complete,Database migration,Node.js,MSSQL,Migration API,Secure,Validated,2024-12-01
Scripts,MSSQL Setup,scripts/mssql-migration.sql,Script,Complete,SQL setup,SQL,MSSQL,Setup API,Secure,Optimized,2024-12-01
Scripts,Seed Database,scripts/seedDatabase.js,Script,Complete,Data seeding,Node.js,Database,Seed API,Validated,Automated,2024-12-01
Scripts,Healthcare Data,scripts/seedHealthcareData.js,Script,Complete,Healthcare seeding,Node.js,Database,Seed API,Compliant,Validated,2024-12-01
Scripts,VAPT Testing,scripts/vapt-testing-suite.js,Script,Complete,Security testing,Node.js,None,Test API,Comprehensive,Automated,2024-12-01
Scripts,Server Seed,server/scripts/seed.js,Script,Complete,Server seeding,Node.js,Database,Seed API,Validated,Automated,2024-12-01
Hooks,Session Manager,src/hooks/useSessionManager.ts,Hook,Complete,Session management,TypeScript,None,Session API,Secure,Optimized,2024-12-01
Hooks,RBAC Hook,src/hooks/useRBAC.ts,Hook,Complete,Permission checking,TypeScript,Database,RBAC API,Validated,Fast,2024-12-01
Hooks,Toast Hook,src/hooks/use-toast.ts,Hook,Complete,Notifications,TypeScript,None,Toast API,Validated,Optimized,2024-12-01
Hooks,Mobile Hook,src/hooks/use-mobile.tsx,Hook,Complete,Mobile detection,TypeScript,None,Mobile API,Validated,Responsive,2024-12-01
Types,Database Types,src/types/database.ts,Types,Complete,Database types,TypeScript,None,Type API,Validated,Comprehensive,2024-12-01
Types,Environment Types,src/types/env.d.ts,Types,Complete,Environment types,TypeScript,None,Type API,Validated,Complete,2024-12-01
Types,Index Types,src/types/index.ts,Types,Complete,Main types,TypeScript,None,Type API,Validated,Comprehensive,2024-12-01
Types,India Types,src/types/india.ts,Types,Complete,India-specific types,TypeScript,None,Type API,Validated,Localized,2024-12-01
Utils,RBAC Test,src/utils/rbacTest.ts,Utility,Complete,RBAC testing,TypeScript,None,Test API,Validated,Automated,2024-12-01
Utils,General Utils,src/lib/utils.ts,Utility,Complete,General utilities,TypeScript,None,Util API,Validated,Optimized,2024-12-01
Utils,Indian Utils,src/lib/indianUtils.ts,Utility,Complete,India utilities,TypeScript,None,Util API,Validated,Localized,2024-12-01
Data,HRMS Data,data/hrms.json,Data,Complete,HR data,JSON,File,Data API,Sanitized,Validated,2024-12-01
Data,Healthcare Data,data/healthcare-data.json,Data,Complete,Healthcare data,JSON,File,Data API,Compliant,Validated,2024-12-01
Data,SmartBizFlow DB,smartbizflow-db.json,Data,Complete,Main database,JSON,File,DB API,Encrypted,Backed up,2024-12-01
Package,Main Package,package.json,Configuration,Complete,Dependencies,Node.js,None,Package API,Validated,Updated,2024-12-01
Package,Lock File,package-lock.json,Configuration,Complete,Dependency lock,Node.js,None,Lock API,Secure,Current,2024-12-01
Configuration,TypeScript Config,tsconfig.json,Configuration,Complete,TypeScript settings,TypeScript,None,Config API,Validated,Optimized,2024-12-01
Configuration,Vite Config,vite.config.ts,Configuration,Complete,Vite settings,Vite,None,Config API,Validated,Optimized,2024-12-01
Configuration,Tailwind Config,tailwind.config.js,Configuration,Complete,Tailwind settings,Tailwind,None,Config API,Validated,Optimized,2024-12-01
Configuration,PostCSS Config,postcss.config.cjs,Configuration,Complete,PostCSS settings,PostCSS,None,Config API,Validated,Optimized,2024-12-01
Configuration,ESLint Config,.eslintrc.cjs,Configuration,Complete,ESLint settings,ESLint,None,Config API,Validated,Optimized,2024-12-01
Configuration,Playwright Config,playwright.config.ts,Configuration,Complete,Playwright settings,Playwright,None,Config API,Validated,Optimized,2024-12-01 
